opentime,open,high,low,close,volume_U,value,signal,position,entry_price,stop_price,stop_loss,stop_profit,unrealized_pnl,realized_pnl,commission
2023-11-21 16:00:00,36975.8,37000.0,36800.0,36811.1,191205298.24766,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:05:00,36811.5,36930.0,36756.0,36925.5,144825981.297,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:10:00,36925.6,37060.0,36910.1,36993.7,149533032.65359,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:15:00,36993.6,37029.6,36890.0,36898.1,101242527.41325,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:20:00,36897.8,36962.6,36865.6,36959.3,57115699.8784,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:25:00,36959.4,36980.0,36918.8,36970.0,47573542.7944,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:30:00,36970.1,37000.0,36852.5,36879.1,66587731.1719,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:35:00,36879.1,36981.5,36879.1,36953.8,61673731.2916,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:40:00,36953.8,36979.2,36904.0,36953.4,21527474.9776,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:45:00,36953.4,37120.3,36948.0,37120.2,114292414.93076,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:50:00,37120.3,37291.2,37081.0,37121.9,282751939.67812,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 16:55:00,37121.9,37207.5,37089.0,37198.0,92539631.6731,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:00:00,37198.1,37263.5,37132.0,37257.5,80238739.57984,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:05:00,37257.5,37300.0,37175.7,37184.7,90769127.3699,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:10:00,37184.8,37349.1,37165.6,37332.8,85041229.82043,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:15:00,37332.8,37469.0,37267.2,37398.2,223064922.74461,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:20:00,37398.3,37531.0,37367.0,37396.3,266472086.8602,100000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:25:00,37396.3,37450.0,37284.2,37287.9,104028788.31625,100000.0,0.0,0.0,0.0,36999.59966647168,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:30:00,37288.0,37331.2,37150.0,37150.0,156961473.59062,100000.0,0.0,0.0,0.0,36999.59966647168,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:35:00,37150.0,37179.9,36966.7,37057.2,207809204.07776,100000.0,0.0,0.0,0.0,36999.59966647168,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:40:00,37057.2,37064.9,36831.9,36846.9,187560900.93159,100000.0,0.0,0.0,0.0,37353.28548460337,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:45:00,36847.8,36982.6,36600.0,36981.8,373746745.43383,100000.0,0.0,0.0,0.0,37241.24937722748,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:50:00,36981.9,37019.9,36924.0,37009.1,115672787.7081,100000.0,0.0,0.0,0.0,37241.24937722748,0.0,0.0,0.0,0.0,0.0
2023-11-21 17:55:00,37009.1,37020.0,36900.0,36913.6,65074024.6327,100000.0,0.0,0.0,0.0,37241.24937722748,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:00:00,36913.6,36913.7,36759.8,36771.4,150690085.08254,100000.0,0.0,0.0,0.0,37241.24937722748,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:05:00,36771.5,36899.4,36712.7,36801.6,98322154.5173,100000.0,0.0,0.0,0.0,37229.41661667474,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:10:00,36801.5,36847.2,36708.9,36798.6,90611105.5466,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:15:00,36798.6,36886.9,36759.3,36857.2,65635387.13524,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:20:00,36857.2,36899.3,36836.0,36867.2,35107093.6333,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:25:00,36867.2,36960.1,36860.5,36957.1,51934437.45335,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:30:00,36957.0,36988.0,36901.0,36953.4,39486080.5989,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:35:00,36953.5,36967.8,36908.7,36929.2,33693423.1463,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:40:00,36929.2,36943.8,36881.1,36899.0,34403512.821,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:45:00,36899.1,36932.0,36838.1,36845.9,33173381.14594,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:50:00,36845.9,36927.3,36835.9,36862.1,23815910.0558,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 18:55:00,36862.2,36911.7,36852.1,36888.7,17292990.0358,100000.0,0.0,0.0,0.0,37195.66094189454,0.0,0.0,0.0,0.0,0.0
2023-11-21 19:00:00,36887.7,36918.4,36834.1,36864.5,27223438.1458,100000.0,0.0,0.0,0.0,37184.47685858977,0.0,0.0,0.0,0.0,0.0
2023-11-21 19:05:00,36864.9,36871.2,36775.0,36811.9,35191498.7634,100000.0,0.0,0.0,0.0,37126.86992059192,0.0,0.0,0.0,0.0,0.0
2023-11-21 19:10:00,36812.0,36899.3,36765.0,36876.2,32931909.4095,100000.0,0.0,0.0,0.0,37126.86992059192,0.0,0.0,0.0,0.0,0.0
2023-11-21 19:15:00,36876.2,37088.9,36868.1,37039.9,109601068.44783,100000.0,0.0,0.0,0.0,37126.86992059192,0.0,0.0,0.0,0.0,0.0
